"","c","Process_type","pkn","name"
"1",0.1,"Pkn_n1",8,"MAP"
"2",0.5,"Pkn_n1",3,"MAP"
"3",1,"Pkn_n1",0,"MAP"
"4",2,"Pkn_n1",0,"MAP"
"5",0.1,"Pkn_n2",5,"MAP"
"6",0.5,"Pkn_n2",3,"MAP"
"7",1,"Pkn_n2",3,"MAP"
"8",2,"Pkn_n2",0,"MAP"
"9",0.1,"Pkn_n3",5,"MAP"
"10",0.5,"Pkn_n3",4,"MAP"
"11",1,"Pkn_n3",3,"MAP"
"12",2,"Pkn_n3",1,"MAP"
"13",0.1,"Pkn_n4",6,"MAP"
"14",0.5,"Pkn_n4",4,"MAP"
"15",1,"Pkn_n4",4,"MAP"
"16",2,"Pkn_n4",3,"MAP"
"17",0.1,"Pkn_n1",7.574,"Mean"
"18",0.5,"Pkn_n1",3.4534375,"Mean"
"19",1,"Pkn_n1",0.17675,"Mean"
"20",2,"Pkn_n1",0,"Mean"
"21",0.1,"Pkn_n2",5.0754375,"Mean"
"22",0.5,"Pkn_n2",3.3924375,"Mean"
"23",1,"Pkn_n2",2.423,"Mean"
"24",2,"Pkn_n2",0,"Mean"
"25",0.1,"Pkn_n3",5.2605,"Mean"
"26",0.5,"Pkn_n3",3.8905,"Mean"
"27",1,"Pkn_n3",3.32675,"Mean"
"28",2,"Pkn_n3",0.893125,"Mean"
"29",0.1,"Pkn_n4",6.0015625,"Mean"
"30",0.5,"Pkn_n4",4.4823125,"Mean"
"31",1,"Pkn_n4",3.852125,"Mean"
"32",2,"Pkn_n4",3.2286875,"Mean"
