"","c","Process_type","pkn","name"
"1",0.1,"Pkn_n1",6,"MAP"
"2",0.5,"Pkn_n1",3,"MAP"
"3",1,"Pkn_n1",1,"MAP"
"4",2,"Pkn_n1",0,"MAP"
"5",0.1,"Pkn_n2",3,"MAP"
"6",0.5,"Pkn_n2",3,"MAP"
"7",1,"Pkn_n2",3,"MAP"
"8",2,"Pkn_n2",0,"MAP"
"9",0.1,"Pkn_n3",3,"MAP"
"10",0.5,"Pkn_n3",3,"MAP"
"11",1,"Pkn_n3",3,"MAP"
"12",2,"Pkn_n3",2,"MAP"
"13",0.1,"Pkn_n4",3,"MAP"
"14",0.5,"Pkn_n4",3,"MAP"
"15",1,"Pkn_n4",3,"MAP"
"16",2,"Pkn_n4",3,"MAP"
"17",0.1,"Pkn_n1",5.9201875,"Mean"
"18",0.5,"Pkn_n1",2.9260625,"Mean"
"19",1,"Pkn_n1",0.874125,"Mean"
"20",2,"Pkn_n1",0,"Mean"
"21",0.1,"Pkn_n2",3.767,"Mean"
"22",0.5,"Pkn_n2",3,"Mean"
"23",1,"Pkn_n2",2.970875,"Mean"
"24",2,"Pkn_n2",0,"Mean"
"25",0.1,"Pkn_n3",3.10375,"Mean"
"26",0.5,"Pkn_n3",2.999875,"Mean"
"27",1,"Pkn_n3",2.999875,"Mean"
"28",2,"Pkn_n3",1.999875,"Mean"
"29",0.1,"Pkn_n4",3.0256875,"Mean"
"30",0.5,"Pkn_n4",3,"Mean"
"31",1,"Pkn_n4",3,"Mean"
"32",2,"Pkn_n4",3,"Mean"
